"total_len","lcc_len","connectivity","year"
156955.309717862,115499.817492566,0.735877095844576,2017
177417.442778837,135216.563411537,0.762137934656705,2018
183300.253500732,138688.498130433,0.756619238008195,2019
204619.221417166,157481.617489377,0.769632571166482,2020
210626.313452708,169724.639895718,0.805809289036556,2021
213744.188490879,176657.199439447,0.826488900992902,2022
233573.730202309,199509.212888802,0.854159466974295,2023
233615.83434509,201389.544982132,0.862054344675309,2024
233615.83434509,201389.544982132,0.862054344675309,2025
