"MUNDISSEC","total_len","lcc_len","connectivity","year"
"08019305059",717.027227830958,717.027227830958,1,2017
"08019305061",203.046245167802,203.046245167802,1,2017
"08019305065",148.638971041793,148.638971041793,1,2017
"08019305066",149.916878595575,149.916878595575,1,2017
"08019305067",565.038167898084,565.038167898084,1,2017
"08019305068",89.5607188103031,89.5607188103031,1,2017
"08019306006",16.2050355906307,0,0,2017
"08019306007",390.517486199196,0,0,2017
"08019306044",356.607447301927,356.607447301927,1,2017
"08019306045",47.0180047322631,47.0180047322631,1,2017
"08019306058",1.01203996885157,1.01203996885157,1,2017
"08019306060",48.8929462756062,48.8929462756062,1,2017
"08019306063",144.226391918603,144.226391918603,1,2017
"08019306064",290.924166417278,290.924166417278,1,2017
"08019306065",152.850497681801,152.850497681801,1,2017
"08019306067",133.87251810777,133.87251810777,1,2017
"08019306068",260.068367835924,260.068367835924,1,2017
"08019306069",134.40840141925,134.40840141925,1,2017
"08019306077",368.041186017139,368.041186017139,1,2017
"08019306081",98.4029185345446,98.4029185345446,1,2017
"08019307001",147.201586196212,147.201586196212,1,2017
"08019307002",273.821830926431,273.821830926431,1,2017
"08019307003",86.0956389754336,86.0956389754336,1,2017
"08019307005",126.37059997895,126.37059997895,1,2017
"08019307006",330.112729871129,330.112729871129,1,2017
"08019307007",38.3713532265644,38.3713532265644,1,2017
"08019307010",133.941752234649,133.941752234649,1,2017
"08019307011",190.742327580315,190.742327580315,1,2017
"08019307017",190.049401659518,0,0,2017
"08019307033",168.261928362255,168.261928362255,1,2017
"08019307034",232.539233833642,232.539233833642,1,2017
"08019307036",14.3251821703837,14.3251821703837,1,2017
"08019307037",113.533746381947,113.533746381947,1,2017
"08019307038",423.539655901204,0,0,2017
"08019307042",162.0206856119,162.0206856119,1,2017
"08019307044",142.036605199396,142.036605199396,1,2017
"08019307045",288.871033135366,288.871033135366,1,2017
"08019307073",0.683353073493157,0,0,2017
"08019307098",415.150278953764,0,0,2017
"08019307101",2381.31058943062,0,0,2017
"08019307102",1053.17560190749,0,0,2017
"08019307103",276.913361708443,0,0,2017
"08019307112",704.208446312779,0,0,2017
"08019307118",101.156912641766,0,0,2017
"08019308012",644.581980061973,346.978738817495,0.538300401733438,2017
"08019308013",276.426687141017,11.1092637839005,0.040188825105129,2017
"08019308014",271.514254881945,271.514254881945,1,2017
"08019308018",111.915216090612,111.915216090612,1,2017
"08019308019",282.457495788619,282.457495788619,1,2017
"08019308022",173.49183583195,20.1464096321897,0.116123099024119,2017
"08019308024",134.279908196939,134.279908196939,1,2017
"08019308025",3.76806322982401,3.76806322982401,1,2017
"08019308027",266.319640003449,0,0,2017
"08019308028",246.701599795176,0,0,2017
"08019308029",79.9691596753089,79.9691596753089,1,2017
"08019308030",238.771701933418,0,0,2017
"08019308033",87.5740280069026,0,0,2017
"08019308051",108.441444720521,0,0,2017
"08019308052",47.9182247657072,0,0,2017
"08019308053",106.72106051973,0,0,2017
"08019308054",256.06886605154,0,0,2017
"08019308055",285.009375154388,0,0,2017
"08019308057",51.5917666253363,0,0,2017
"08019308059",129.095278008947,0,0,2017
"08019308067",2.72617921464479,0,0,2017
"08019308074",140.999919323673,0,0,2017
"08019308075",329.01769045922,0,0,2017
"08019308076",246.456325617537,0,0,2017
"08019308082",220.954386658331,0,0,2017
"08019308083",298.16078930579,0,0,2017
"08019308084",146.519137474765,0,0,2017
"08019308086",78.2993544031605,0,0,2017
"08019308092",259.561093693949,0,0,2017
"08019308094",293.759162434057,0,0,2017
"08019308103",415.262272269646,0,0,2017
"08019308105",295.68164985582,0,0,2017
"08019308106",221.206576390961,0,0,2017
"08019308107",551.171608921357,0,0,2017
"08019308108",218.267217874012,0,0,2017
"08019308116",382.990544564177,0,0,2017
"08019309007",2.62631310627253,0,0,2017
